,HOTEL NAME,LOCALITY,REGION,OLD PRICE,PRICE AFTER DISCOUNT,% DISCOUNT,STATUS
158,OYO Rooms 321 Near RK Ashram Metro Station 3,Paharganj,Delhi,₹ 1349,₹ 1012,25% OFF,SOLD OUT 
159,OYO Rooms 219 Grace Church NFC,Kirokli,Delhi,₹ 2649,₹ 1987,25% OFF,SOLD OUT 
160,OYO Rooms 170 Shadipur Metro Station,West Patel Nagar,Delhi,₹ 2399,₹ 1799,25% OFF,SOLD OUT 
161,OYO Rooms 365 Indra Gandhi Airport Main Road,"Next to Hotel Radisson, Near IGI Airport, Rangpuri",Delhi,₹ 2599,₹ 1949,25% OFF,SOLD OUT 
162,OYO Rooms 088 East Patel Nagar,Near Metro Pillar No.161,Delhi,₹ 2449,₹ 1837,25% OFF,SOLD OUT 
163,OYO Premium 407 South Delhi Grand Stay,Aruna Asaf Ali Marg,Delhi,₹ 4199,₹ 3149,25% OFF,SOLD OUT 
164,OYO Rooms 014 New Friends Colony Crossroad,CV Raman Marg,Delhi,₹ 2249,₹ 1687,25% OFF,SOLD OUT 
165,OYO Rooms 560 Vasant Vihar 2,Rao Tula Ram Marg,Delhi,₹ 3099,₹ 2324,25% OFF,SOLD OUT 
166,OYO Homes 520 GK 1 M Block Market,Greater Kailash 1,Delhi,₹ 3399,₹ 2549,25% OFF,SOLD OUT 
167,OYO Elite 557 Panchsheel Enclave,Panchshila Park,Delhi,₹ 5649,₹ 4237,25% OFF,SOLD OUT 
168,OYO Rooms 253 New Friends Colony 2,New Friends colony,Delhi,₹ 3849,₹ 2887,25% OFF,SOLD OUT 
169,OYO Rooms 169 Near DPS Vasantkunj,Vasant Kunj,Delhi,₹ 2099,₹ 1574,25% OFF,SOLD OUT 
170,OYO Rooms 585 Near Sector 10 Metro Dwarka,"Sector 10 Dwarka, In front of metro station",Delhi,₹ 3599,₹ 2699,25% OFF,SOLD OUT 
171,OYO Homes 275 Saket J Block,Saket,Delhi,₹ 3399,₹ 2549,25% OFF,SOLD OUT 
172,OYO Premium 534 Dwarka Near Ramphal Chowk,Dwarka Palam Road,Delhi,₹ 2549,₹ 1912,25% OFF,SOLD OUT 
173,OYO Rooms 145 Paschim Vihar,Rohtak Road,Delhi,₹ 3049,₹ 2287,25% OFF,SOLD OUT 
174,OYO Rooms 249 Nehru Place Flyover,Greater Kailash 1,Delhi,₹ 3599,₹ 2699,25% OFF,SOLD OUT 
175,OYO Rooms 280 J Block Vikaspuri Delhi,Vikaspuri,Delhi,₹ 2199,₹ 1649,25% OFF,SOLD OUT 
176,OYO Homes 110 Jangpura Ext,Jangpura Extension,Delhi,₹ 3049,₹ 2287,25% OFF,SOLD OUT 
177,OYO Rooms 204 Rajendra Place Metro Station,East Patel Nagar,Delhi,₹ 2299,₹ 1724,25% OFF,SOLD OUT 
178,OYO Rooms 518 ZION Church Patel Nagar,East Patel nagar,Delhi,₹ 2149,₹ 1612,25% OFF,SOLD OUT 
179,OYO Rooms 263 PVR Vikas Puri,Vikas Puri,Delhi,₹ 2549,₹ 1912,25% OFF,SOLD OUT 
180,OYO Premium 232 Jasola Near DLF Tower,Jasola,Delhi,₹ 4949,₹ 3712,25% OFF,SOLD OUT 
181,OYO Apartments 273 Dwarka Sector 12,Dwarka,Delhi,₹ 2199,₹ 1649,25% OFF,SOLD OUT 
182,OYO Premium 187 Hari Nagar,Hari Nagar,Delhi,₹ 3399,₹ 2549,25% OFF,SOLD OUT 
