Type,F1,F2,F3,F4
m,0.148368751,0.049181509,0.19755026,0.131700173
m,0.061113124,0.050508412,0.111621536,0.074414357
m,0.279439789,0.076985949,0.356425738,0.237617159
t,0.600153919,0.143620534,0.743774453,0.495849635
m,0.212911179,0.054372587,0.267283766,0.178189177
t,0.331857131,0.181679268,0.513536399,0.342357599
t,0.267113588,0.048821469,0.315935057,0.210623371
t,0.268780518,0.15704075,0.425821268,0.283880845
m,1.209386416,0.503308934,1.71269535,1.1417969
t,0.248971436,0.066227376,0.315198812,0.210132541
m,0.286219749,0.205858934,0.492078683,0.328052455
m,0.094465088,0.05864284,0.153107928,0.102071952
m,0.298279272,0.061753312,0.360032584,0.240021723
m,0.384912862,0.089839069,0.474751931,0.316501287
m,0.072821014,0.081231691,0.154052705,0.102701803
t,0.073778846,0.055543139,0.129321985,0.086214657
t,0.458522484,0.199941679,0.658464163,0.438976109
t,0.162652444,0.08790715,0.250559594,0.167039729
m,0.290006009,0.076056783,0.366062792,0.244041861
t,0.099368746,0.030723484,0.13009223,0.086728153
t,0.113166644,0.022682057,0.135848701,0.090565801
t,0.562328463,0.104385534,0.666713997,0.444475998
t,0.11166646,0.123957812,0.235624272,0.157082848
m,0.056448444,0.053666765,0.110115209,0.073410139
t,0.059984419,0.049802403,0.109786822,0.073191215
t,0.145261963,0.060735053,0.205997016,0.137331344
m,0.232692427,0.061836641,0.294529068,0.196352712
m,0.533639689,0.174607715,0.708247404,0.472164936
t,0.373587687,0.134039749,0.507627436,0.338418291
m,0.087308176,0.029660798,0.116968974,0.077979316
m,0.07503671,0.12668674,0.20172345,0.1344823
m,0.708087666,0.297645064,1.00573273,0.670488487
m,0.111779442,0.032135119,0.143914561,0.095943041
m,0.822845262,0.210063676,1.032908938,0.688605959
t,0.225224812,0.127087569,0.352312381,0.234874921
m,0.01240965,0.020692155,0.033101805,0.02206787
m,0.4107607,0.290071517,0.700832217,0.467221478
m,0.63286,0.157650974,0.790510974,0.527007316
t,0.235187045,0.054049657,0.289236702,0.192824468
t,0.134956249,0.063774941,0.19873119,0.13248746
m,0.204431263,0.063312787,0.26774405,0.178496033
t,0.098317914,0.024864939,0.123182853,0.082121902
m,0.137586185,0.09684104,0.234427225,0.156284817
m,0.308940297,0.189074565,0.498014862,0.332009908
m,0.328668544,0.131114546,0.45978309,0.30652206
t,0.212755387,0.067614709,0.280370096,0.186913397
t,0.828387359,0.20617274,1.034560099,0.689706733
m,0.195350441,0.057567476,0.252917917,0.168611945
t,0.287250396,0.069044535,0.356294931,0.237529954
m,0.061786299,0.053560928,0.115347227,0.076898151
m,0.152248735,0.088731434,0.240980169,0.160653446
t,0.219133588,0.199686429,0.418820017,0.279213345
m,0.317363496,0.105157789,0.422521285,0.281680857
t,0.282117181,0.119017398,0.401134579,0.267423053
t,0.781263402,0.067739265,0.849002667,0.566001778
t,0.993573337,0.406376084,1.399949421,0.933299614
m,0.463357748,0.189011517,0.652369265,0.434912843
t,0.27588926,0.068046865,0.343936125,0.22929075
t,0.159695521,0.033659642,0.193355163,0.128903442
t,0.260567416,0.122014147,0.382581563,0.255054375
t,0.075186969,0.214453789,0.289640758,0.193093839
m,0.399885578,0.088681257,0.488566835,0.325711223
t,0.047568796,0.063635589,0.111204385,0.074136257
t,0.287084223,0.074578898,0.361663121,0.241108747
m,0.09211167,0.054267436,0.146379106,0.097586071
m,-0.000861434,0.040686445,0.039825011,0.026550007
m,-0.149333249,0.057746233,-0.091587016,-0.061058011
t,0.205039359,0.051582336,0.256621695,0.17108113
t,0.248611074,0.054267787,0.302878861,0.201919241
t,0.466958275,0.185860147,0.652818422,0.435212281
m,0.021315937,0.044389498,0.065705435,0.043803623
m,0.413135032,0.059360182,0.472495214,0.314996809
m,0.021862169,0.070751709,0.092613878,0.061742585
t,0.821035911,0.265614429,1.08665034,0.72443356
t,0.243050278,0.133174542,0.37622482,0.250816547
m,0.196096971,0.080778178,0.276875149,0.184583433
t,0.159156245,0.06809143,0.227247675,0.15149845
m,-0.23551584,0.053929937,-0.181585903,-0.121057269
m,0.169731755,0.036360676,0.206092431,0.137394954
t,0.849256324,0.342812098,1.192068422,0.794712281
t,0.252239521,0.078755428,0.330994949,0.220663299
t,0.930976109,0.323045833,1.254021942,0.836014628
t,0.067261542,0.073567934,0.140829476,0.093886317
t,1.35672747,0.475872541,1.832600011,1.221733341
t,0.061622632,0.028776607,0.090399239,0.060266159
m,0.961077777,0.34578015,1.306857927,0.871238618
m,0.54105869,0.074719419,0.615778109,0.410518739
m,0.364395839,0.092447398,0.456843237,0.304562158
t,0.315203358,0.143596309,0.458799667,0.305866445
t,0.125638692,0.054245678,0.17988437,0.119922913
t,0.241905618,0.057008569,0.298914187,0.199276125
m,0.234134702,0.114335954,0.348470656,0.232313771
t,0.272601723,0.053522498,0.326124221,0.217416147
m,0.29443506,0.065777033,0.360212093,0.240141395
t,0.618797118,0.108309565,0.727106683,0.484737789
t,0.230309264,0.067986399,0.298295663,0.198863775
t,0.37186969,0.133356541,0.505226231,0.336817487
m,0.317432685,0.13248706,0.449919745,0.299946497
t,0.170646535,0.082972868,0.253619403,0.169079602
t,0.202258142,0.038005782,0.240263924,0.160175949
m,0.592222758,0.13123497,0.723457728,0.482305152
